                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99369,                 2.1157,                 1.3366,                0.70826,                0.18681,                0.15309,                  0.113,                    nan,                    inf,                    nan,               0.070248,              0.0033058,              0.0033058
                      1,                0.90085,                 1.3519,                  1.245,                 0.4971,                0.49172,                0.42191,                0.27667,                    nan,                    inf,                    nan,               0.040182,              0.0065734,              0.0065734
                      2,                0.92375,                 1.0985,                 1.2332,                0.38553,                0.48932,                0.40293,                0.25827,                    nan,                    inf,                    nan,                0.01005,               0.009775,               0.009775
                      3,                0.96812,                 1.0699,                 1.2545,                0.63448,                0.38503,                0.49383,                0.31154,                    nan,                    inf,                    nan,               0.009703,               0.009703,               0.009703
                      4,                0.95134,                 1.0237,                 1.2418,                0.79329,                 0.4475,                 0.5016,                0.36135,                    nan,                    inf,                    nan,               0.009703,               0.009703,               0.009703
                      5,                0.92675,                0.95647,                 1.2225,                0.57526,                0.52797,                0.50742,                 0.3441,                    nan,                    inf,                    nan,               0.009604,               0.009604,               0.009604
                      6,                0.90759,                0.91134,                 1.2114,                0.55019,                0.57522,                0.55762,                0.36471,                    nan,                    inf,                    nan,               0.009505,               0.009505,               0.009505
                      7,                0.87077,                0.86395,                 1.1922,                0.64918,                0.52416,                0.57334,                 0.4095,                    nan,                    inf,                    nan,               0.009406,               0.009406,               0.009406
                      8,                0.86963,                 0.8303,                  1.186,                0.62139,                0.59207,                0.59985,                0.43325,                    nan,                    inf,                    nan,               0.009307,               0.009307,               0.009307
                      9,                0.84944,                0.80786,                 1.1732,                0.62665,                0.62648,                 0.6481,                0.43642,                    nan,                    inf,                    nan,               0.009208,               0.009208,               0.009208
                     10,                0.83376,                0.77415,                 1.1595,                0.44711,                0.59977,                 0.5588,                0.38643,                    nan,                    inf,                    nan,               0.009109,               0.009109,               0.009109
                     11,                0.81972,                0.75101,                 1.1567,                  0.565,                0.69559,                0.64472,                 0.4829,                    nan,                    inf,                    nan,                0.00901,                0.00901,                0.00901
                     12,                  0.808,                0.73902,                 1.1494,                0.61805,                0.63687,                0.65418,                0.44842,                    nan,                    inf,                    nan,               0.008911,               0.008911,               0.008911
                     13,                0.79125,                0.71104,                 1.1442,                0.56244,                0.68538,                0.64789,                0.47803,                    nan,                    inf,                    nan,               0.008812,               0.008812,               0.008812
                     14,                0.77832,                0.69094,                  1.133,                0.71336,                0.64797,                 0.6947,                0.48661,                    nan,                    inf,                    nan,               0.008713,               0.008713,               0.008713
                     15,                0.78071,                0.67757,                 1.1297,                0.61214,                0.64337,                0.65854,                0.48593,                    nan,                    inf,                    nan,               0.008614,               0.008614,               0.008614
                     16,                0.76408,                0.65505,                 1.1176,                0.68238,                0.70426,                0.71511,                0.50753,                    nan,                    inf,                    nan,               0.008515,               0.008515,               0.008515
                     17,                0.76289,                0.64857,                 1.1166,                0.71172,                0.69317,                 0.7107,                 0.5186,                    nan,                    inf,                    nan,               0.008416,               0.008416,               0.008416
                     18,                0.73699,                0.63706,                 1.1076,                0.69431,                0.71037,                0.72416,                0.53087,                    nan,                    inf,                    nan,               0.008317,               0.008317,               0.008317
                     19,                0.73691,                0.61622,                 1.1023,                0.68254,                0.73321,                0.72711,                0.53354,                    nan,                    inf,                    nan,               0.008218,               0.008218,               0.008218
                     20,                 0.7277,                0.61477,                 1.0995,                0.72564,                0.68248,                 0.7342,                 0.5288,                    nan,                    inf,                    nan,               0.008119,               0.008119,               0.008119
                     21,                0.73021,                0.60179,                 1.1014,                0.61152,                0.64601,                0.68977,                0.51844,                    nan,                    inf,                    nan,                0.00802,                0.00802,                0.00802
                     22,                0.72515,                0.59856,                 1.0959,                0.71428,                0.69107,                0.74135,                0.54103,                    nan,                    inf,                    nan,               0.007921,               0.007921,               0.007921
                     23,                0.71836,                0.57707,                 1.0938,                0.71541,                 0.7078,                 0.7345,                0.55043,                    nan,                    inf,                    nan,               0.007822,               0.007822,               0.007822
                     24,                0.71477,                0.58113,                 1.0868,                0.73612,                0.71665,                0.75008,                0.57798,                    nan,                    inf,                    nan,               0.007723,               0.007723,               0.007723
                     25,                0.69503,                  0.556,                 1.0699,                0.74266,                0.66307,                0.72983,                0.55017,                    nan,                    inf,                    nan,               0.007624,               0.007624,               0.007624
                     26,                0.69949,                0.55257,                 1.0814,                0.69481,                0.68621,                0.71871,                0.55031,                    nan,                    inf,                    nan,               0.007525,               0.007525,               0.007525
                     27,                0.67963,                 0.5499,                 1.0742,                0.73829,                 0.7428,                0.76591,                0.57463,                    nan,                    inf,                    nan,               0.007426,               0.007426,               0.007426
                     28,                0.68681,                0.54566,                 1.0747,                0.75726,                0.67773,                0.73091,                0.55271,                    nan,                    inf,                    nan,               0.007327,               0.007327,               0.007327
                     29,                0.67546,                0.53139,                 1.0633,                0.75964,                0.69938,                0.75209,                0.56625,                    nan,                    inf,                    nan,               0.007228,               0.007228,               0.007228
                     30,                0.67528,                0.52733,                  1.064,                 0.7095,                0.75349,                0.77243,                0.57962,                    nan,                    inf,                    nan,               0.007129,               0.007129,               0.007129
                     31,                0.66304,                  0.523,                 1.0581,                0.75091,                0.70979,                 0.7644,                0.58909,                    nan,                    inf,                    nan,                0.00703,                0.00703,                0.00703
                     32,                0.67047,                0.51104,                 1.0625,                0.80539,                0.68739,                0.76565,                 0.5627,                    nan,                    inf,                    nan,               0.006931,               0.006931,               0.006931
                     33,                 0.6523,                 0.5063,                 1.0537,                0.71306,                0.72197,                0.75531,                0.56441,                    nan,                    inf,                    nan,               0.006832,               0.006832,               0.006832
                     34,                0.65176,                0.50091,                 1.0507,                 0.7209,                0.76102,                0.79796,                0.61458,                    nan,                    inf,                    nan,               0.006733,               0.006733,               0.006733
                     35,                 0.6414,                0.49292,                 1.0454,                 0.7412,                0.73507,                0.77722,                0.59083,                    nan,                    inf,                    nan,               0.006634,               0.006634,               0.006634
                     36,                0.64812,                0.48234,                 1.0451,                0.76465,                0.75345,                0.78954,                0.60454,                    nan,                    inf,                    nan,               0.006535,               0.006535,               0.006535
                     37,                0.64186,                0.48888,                  1.048,                0.75587,                0.77624,                0.80678,                0.61604,                    nan,                    inf,                    nan,               0.006436,               0.006436,               0.006436
                     38,                0.63853,                0.48179,                 1.0431,                0.70871,                0.74771,                0.78119,                0.58156,                    nan,                    inf,                    nan,               0.006337,               0.006337,               0.006337
                     39,                0.63155,                0.47118,                  1.039,                0.63621,                0.79712,                0.77246,                0.59756,                    nan,                    inf,                    nan,               0.006238,               0.006238,               0.006238
                     40,                0.62073,                0.45617,                 1.0378,                0.78331,                0.78996,                 0.8257,                  0.643,                    nan,                    inf,                    nan,               0.006139,               0.006139,               0.006139
                     41,                0.62842,                0.47238,                  1.041,                0.77858,                0.74535,                0.78919,                0.61952,                    nan,                    inf,                    nan,                0.00604,                0.00604,                0.00604
                     42,                0.62276,                0.45624,                 1.0307,                0.74705,                0.77944,                0.81759,                0.61719,                    nan,                    inf,                    nan,               0.005941,               0.005941,               0.005941
                     43,                0.61577,                0.45615,                 1.0351,                0.63337,                0.81231,                0.80337,                0.62681,                    nan,                    inf,                    nan,               0.005842,               0.005842,               0.005842
                     44,                0.61374,                 0.4539,                 1.0331,                0.65904,                0.78133,                0.80175,                0.61345,                    nan,                    inf,                    nan,               0.005743,               0.005743,               0.005743
                     45,                0.60982,                0.44775,                 1.0325,                0.81815,                0.71745,                0.82515,                 0.6328,                    nan,                    inf,                    nan,               0.005644,               0.005644,               0.005644
                     46,                0.60045,                0.43583,                 1.0253,                0.77979,                0.79091,                0.81381,                0.64043,                    nan,                    inf,                    nan,               0.005545,               0.005545,               0.005545
                     47,                0.60453,                0.42905,                  1.022,                0.77509,                0.79212,                0.82761,                0.64124,                    nan,                    inf,                    nan,               0.005446,               0.005446,               0.005446
                     48,                0.59528,                0.43102,                 1.0206,                0.75747,                0.77146,                0.82638,                0.64857,                    nan,                    inf,                    nan,               0.005347,               0.005347,               0.005347
                     49,                0.61219,                  0.437,                  1.027,                0.85779,                0.74927,                0.82165,                 0.6588,                    nan,                    inf,                    nan,               0.005248,               0.005248,               0.005248
                     50,                0.58184,                0.41337,                 1.0148,                0.72985,                0.79697,                 0.8131,                0.64768,                    nan,                    inf,                    nan,               0.005149,               0.005149,               0.005149
                     51,                0.57963,                0.41569,                 1.0197,                0.74381,                0.79173,                0.82071,                0.63061,                    nan,                    inf,                    nan,                0.00505,                0.00505,                0.00505
                     52,                0.57696,                0.40848,                 1.0111,                0.78277,                0.79319,                0.83336,                0.66923,                    nan,                    inf,                    nan,               0.004951,               0.004951,               0.004951
                     53,                0.58182,                0.40846,                 1.0125,                0.82473,                0.78341,                0.83458,                0.65716,                    nan,                    inf,                    nan,               0.004852,               0.004852,               0.004852
                     54,                0.57078,                0.41339,                  1.003,                0.75649,                 0.7784,                0.82454,                0.65627,                    nan,                    inf,                    nan,               0.004753,               0.004753,               0.004753
                     55,                0.57183,                 0.3979,                 1.0077,                0.84784,                0.73757,                 0.8276,                0.66251,                    nan,                    inf,                    nan,               0.004654,               0.004654,               0.004654
                     56,                0.57265,                0.39641,                 1.0125,                0.79928,                0.81536,                0.83834,                0.66839,                    nan,                    inf,                    nan,               0.004555,               0.004555,               0.004555
                     57,                 0.5691,                0.39994,                 1.0085,                0.77347,                0.79766,                0.84206,                0.66436,                    nan,                    inf,                    nan,               0.004456,               0.004456,               0.004456
                     58,                0.55658,                 0.3883,                  1.003,                0.82454,                0.76665,                0.82759,                0.65462,                    nan,                    inf,                    nan,               0.004357,               0.004357,               0.004357
                     59,                0.54885,                 0.3882,                 0.9922,                0.83557,                0.82723,                0.86988,                0.68013,                    nan,                    inf,                    nan,               0.004258,               0.004258,               0.004258
                     60,                0.54644,                0.37807,                0.98813,                0.77545,                0.80229,                0.84346,                0.67022,                    nan,                    inf,                    nan,               0.004159,               0.004159,               0.004159
                     61,                0.55051,                0.38197,                0.99748,                0.81435,                0.81312,                0.83896,                0.65956,                    nan,                    inf,                    nan,                0.00406,                0.00406,                0.00406
                     62,                0.54727,                0.37742,                0.98962,                0.78753,                0.77427,                0.84085,                0.66605,                    nan,                    inf,                    nan,               0.003961,               0.003961,               0.003961
                     63,                0.54252,                0.37399,                0.99055,                0.76541,                0.77478,                0.83222,                0.65841,                    nan,                    inf,                    nan,               0.003862,               0.003862,               0.003862
                     64,                0.53897,                0.36353,                0.98911,                0.82439,                0.78989,                0.85834,                0.67675,                    nan,                    inf,                    nan,               0.003763,               0.003763,               0.003763
                     65,                0.54407,                0.36784,                0.99164,                0.83623,                0.73506,                0.84603,                0.67243,                    nan,                    inf,                    nan,               0.003664,               0.003664,               0.003664
                     66,                0.54219,                0.37023,                0.99217,                0.75051,                0.84693,                0.87172,                0.68457,                    nan,                    inf,                    nan,               0.003565,               0.003565,               0.003565
                     67,                 0.5398,                0.36118,                0.98778,                0.76567,                0.81601,                 0.8614,                0.67141,                    nan,                    inf,                    nan,               0.003466,               0.003466,               0.003466
                     68,                0.53006,                0.35885,                0.98694,                 0.8384,                0.77082,                0.87803,                0.69737,                    nan,                    inf,                    nan,               0.003367,               0.003367,               0.003367
                     69,                0.53018,                0.35854,                  0.985,                0.75916,                0.82438,                0.85565,                 0.6933,                    nan,                    inf,                    nan,               0.003268,               0.003268,               0.003268
                     70,                0.52993,                0.35405,                0.98418,                0.82513,                0.82294,                0.87221,                0.69841,                    nan,                    inf,                    nan,               0.003169,               0.003169,               0.003169
                     71,                0.52386,                0.34912,                0.98399,                0.78644,                0.81868,                0.87361,                0.69045,                    nan,                    inf,                    nan,                0.00307,                0.00307,                0.00307
                     72,                0.52221,                0.34575,                0.97801,                0.75287,                0.80662,                0.84356,                0.67895,                    nan,                    inf,                    nan,               0.002971,               0.002971,               0.002971
                     73,                0.51542,                 0.3423,                0.97584,                0.76481,                0.78163,                0.84536,                0.68191,                    nan,                    inf,                    nan,               0.002872,               0.002872,               0.002872
                     74,                0.51902,                0.34661,                0.97498,                0.82019,                0.84329,                0.88213,                0.71174,                    nan,                    inf,                    nan,               0.002773,               0.002773,               0.002773
                     75,                 0.5105,                0.33995,                0.97382,                0.83463,                0.82502,                0.86953,                0.70335,                    nan,                    inf,                    nan,               0.002674,               0.002674,               0.002674
                     76,                0.50729,                0.33551,                0.96789,                0.75627,                0.79899,                0.84116,                0.68296,                    nan,                    inf,                    nan,               0.002575,               0.002575,               0.002575
                     77,                0.51385,                0.33337,                0.97268,                0.82134,                 0.7597,                0.84255,                0.67844,                    nan,                    inf,                    nan,               0.002476,               0.002476,               0.002476
                     78,                0.51024,                0.33494,                0.97433,                0.79034,                0.80342,                0.85921,                 0.6934,                    nan,                    inf,                    nan,               0.002377,               0.002377,               0.002377
                     79,                0.49885,                0.33129,                0.96534,                0.82447,                0.79628,                0.87435,                0.70962,                    nan,                    inf,                    nan,               0.002278,               0.002278,               0.002278
                     80,                0.49006,                0.32049,                 0.9669,                0.81793,                0.80571,                0.86847,                0.69752,                    nan,                    inf,                    nan,               0.002179,               0.002179,               0.002179
                     81,                0.49636,                0.32297,                0.96817,                0.82309,                0.76083,                0.85974,                0.70034,                    nan,                    inf,                    nan,                0.00208,                0.00208,                0.00208
                     82,                0.49427,                0.32659,                0.96291,                0.83245,                0.78077,                0.87207,                0.69892,                    nan,                    inf,                    nan,               0.001981,               0.001981,               0.001981
                     83,                0.48893,                0.31857,                0.96158,                0.83748,                0.78763,                0.87738,                0.70541,                    nan,                    inf,                    nan,               0.001882,               0.001882,               0.001882
                     84,                0.49369,                0.32625,                0.97091,                0.81347,                0.78208,                0.86816,                0.70607,                    nan,                    inf,                    nan,               0.001783,               0.001783,               0.001783
                     85,                0.48389,                0.31391,                0.95977,                0.83562,                0.80066,                 0.8793,                0.72192,                    nan,                    inf,                    nan,               0.001684,               0.001684,               0.001684
                     86,                0.48303,                0.30817,                0.96128,                0.77053,                0.83057,                0.87311,                0.70977,                    nan,                    inf,                    nan,               0.001585,               0.001585,               0.001585
                     87,                0.48148,                0.31139,                0.96135,                0.85047,                0.80155,                0.89199,                0.72397,                    nan,                    inf,                    nan,               0.001486,               0.001486,               0.001486
                     88,                 0.4833,                  0.306,                0.95621,                0.84105,                0.79256,                0.88633,                0.72448,                    nan,                    inf,                    nan,               0.001387,               0.001387,               0.001387
                     89,                 0.4797,                0.30019,                0.95713,                0.83168,                0.79431,                0.88175,                0.72351,                    nan,                    inf,                    nan,               0.001288,               0.001288,               0.001288
                     90,                0.44745,                0.26854,                0.97466,                0.88134,                0.85189,                0.90057,                0.74413,                    nan,                    inf,                    nan,               0.001189,               0.001189,               0.001189
                     91,                0.42936,                0.24135,                0.95726,                0.86441,                0.86463,                0.89648,                0.72888,                    nan,                    inf,                    nan,                0.00109,                0.00109,                0.00109
                     92,                0.42384,                0.23505,                0.94664,                0.88469,                0.86328,                0.90958,                0.73236,                    nan,                    inf,                    nan,               0.000991,               0.000991,               0.000991
                     93,                0.41589,                0.23724,                0.94545,                0.85632,                0.86232,                 0.9017,                0.73549,                    nan,                    inf,                    nan,               0.000892,               0.000892,               0.000892
                     94,                0.40721,                0.23306,                0.93708,                0.85288,                0.84004,                0.89568,                0.73808,                    nan,                    inf,                    nan,               0.000793,               0.000793,               0.000793
                     95,                0.39672,                0.22623,                0.93115,                0.87579,                0.82499,                0.89797,                0.73231,                    nan,                    inf,                    nan,               0.000694,               0.000694,               0.000694
                     96,                 0.3947,                0.22174,                0.92715,                0.89833,                0.81919,                0.90481,                0.73259,                    nan,                    inf,                    nan,               0.000595,               0.000595,               0.000595
                     97,                0.38952,                0.21665,                0.91882,                0.89636,                 0.8304,                0.90066,                 0.7384,                    nan,                    inf,                    nan,               0.000496,               0.000496,               0.000496
                     98,                0.38842,                0.21822,                0.92382,                 0.9188,                0.82364,                0.89885,                 0.7384,                    nan,                    inf,                    nan,               0.000397,               0.000397,               0.000397
                     99,                0.38112,                0.21357,                0.91305,                0.91132,                0.80936,                0.89467,                0.73634,                    nan,                    inf,                    nan,               0.000298,               0.000298,               0.000298
